candidate_a_id,candidate_a_name,candidate_a_area,candidate_b_id,candidate_b_name,candidate_b_area,confidence_score,evidence,recommended_action,status
,Shiv Parvati,Andheri West,,Shiv Parwati,Andheri West,85,✓ High name similarity 92%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Shubham,Andheri West,,Shubham Karoti CHS,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Shankar Sagar,Breach Candy,,Shanker Sagar,Breach Candy,85,✓ High name similarity 92%; ✓ Same area: Breach Candy; ✓ Same coordinates (0.0km apart),flag,pending
,Shiv Tapi,Gamdevi,,Shiv Tapi – Gamdevi,Gamdevi,85,✓ High name similarity 90%; ✓ Same area: Gamdevi; ✓ Same coordinates (0.0km apart),flag,pending
,Shalimar,Kemps Corner,,Shalimar Apartments,Kemps Corner,85,✓ High name similarity 94%; ✓ Same area: Kemps Corner; ✓ Same coordinates (0.0km apart),flag,pending
,Shiv Om,Khar West,,Shiv Omm,Khar West,85,✓ High name similarity 93%; ✓ Same area: Khar West; ✓ Same coordinates (0.0km apart),flag,pending
,Shreyas,Khar West,,Shreyas bldg,Khar West,85,✓ High name similarity 90%; ✓ Same area: Khar West; ✓ Same coordinates (0.0km apart),flag,pending
,Shah Arcade,Malad East,,Shah Arcade 2,Malad East,85,✓ High name similarity 92%; ✓ Same area: Malad East; ✓ Same coordinates (0.0km apart),flag,pending
,Shakti Enclave,Malad West,,Shakti Tower,Malad West,85,✓ High name similarity 90%; ✓ Same area: Malad West; ✓ Same coordinates (0.0km apart),flag,pending
,Shree Balaji Aashirwad,Malad West,,Shri Balaji Ashirwad,Malad West,85,✓ High name similarity 90%; ✓ Same area: Malad West; ✓ Same coordinates (0.0km apart),flag,pending
,Shalimar,Santacruz West,,Shalimar Apartments,Santacruz West,85,✓ High name similarity 94%; ✓ Same area: Santacruz West; ✓ Same coordinates (0.0km apart),flag,pending
,Shubh Apartment,Worli,,Shubhda Tower,Worli,85,✓ High name similarity 90%; ✓ Same area: Worli; ✓ Same coordinates (0.0km apart),flag,pending
,Solitaire,Bandra West,,Solitaire Apartments,Bandra West,85,✓ High name similarity 95%; ✓ Same area: Bandra West; ✓ Same coordinates (0.0km apart),flag,pending
,Sosar Solaris,Khar West,,Solaris,Khar West,85,✓ High name similarity 90%; ✓ Same area: Khar West; ✓ Same coordinates (0.0km apart),flag,pending
,Springfield CHS,Andheri West,,Spring Fields,Andheri West,85,✓ High name similarity 92%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Spring Tower,Dadar East,,Springs,Dadar East,85,✓ High name similarity 92%; ✓ Same area: Dadar East; ✓ Same coordinates (0.0km apart),flag,pending
,Starling Sea Face,Worli,,Sterling Seaface,Worli,85,✓ High name similarity 91%; ✓ Same area: Worli; ✓ Same coordinates (0.0km apart),flag,pending
,Sunny Side,Bandra West,,Sunny Side APT,Bandra West,85,✓ High name similarity 90%; ✓ Same area: Bandra West; ✓ Same coordinates (0.0km apart),flag,pending
,Surabhi CHS,Oshiwara,,Surabhi CHS – Oshiwara,Oshiwara,85,✓ High name similarity 90%; ✓ Same area: Oshiwara; ✓ Same coordinates (0.0km apart),flag,pending
,Sumer Trinity,Prabhadevi,,Sumer Trinity Vertical,Prabhadevi,85,✓ High name similarity 90%; ✓ Same area: Prabhadevi; ✓ Same coordinates (0.0km apart),flag,pending
,Vasant Oasis,Andheri East,,Vasant Oasis I,Andheri East,85,✓ High name similarity 92%; ✓ Same area: Andheri East; ✓ Same coordinates (0.0km apart),flag,pending
,Vaibhav Chambers,Bandra East,,Vaibhav Chember,Bandra East,85,✓ High name similarity 90%; ✓ Same area: Bandra East; ✓ Same coordinates (0.0km apart),flag,pending
,Vaibhavlaxmi,Bandra East,,Vaibhavlaxmi Address51,Bandra East,85,✓ High name similarity 90%; ✓ Same area: Bandra East; ✓ Same coordinates (0.0km apart),flag,pending
,Vaibhav Apartment,Prabhadevi,,Vaibhav Apartments,Prabhadevi,85,✓ High name similarity 93%; ✓ Same area: Prabhadevi; ✓ Same coordinates (0.0km apart),flag,pending
,Victoria Apartments,Andheri West,,Victoria CHS,Andheri West,85,✓ High name similarity 94%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Vishambar Niwas,Khar West,,Vishamber Niwas,Khar West,85,✓ High name similarity 93%; ✓ Same area: Khar West; ✓ Same coordinates (0.0km apart),flag,pending
,Warden,Bandra West,,Warden Bldg,Bandra West,85,✓ High name similarity 90%; ✓ Same area: Bandra West; ✓ Same coordinates (0.0km apart),flag,pending
,Western Edge 1,Borivali East,,Western Edge 2,Borivali East,85,✓ High name similarity 93%; ✓ Same area: Borivali East; ✓ Same coordinates (0.0km apart),flag,pending
,Wellingdon View,Tardeo,,Wellington View,Tardeo,85,✓ High name similarity 93%; ✓ Same area: Tardeo; ✓ Same coordinates (0.0km apart),flag,pending
,Aakanksha Tower,Andheri West,,Aakansha Tower,Andheri West,85,✓ High name similarity 94%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Abhishek,Andheri West,,Abhishek Bldg,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Adinath,Tardeo,,Adinath Apartments,Tardeo,85,✓ High name similarity 93%; ✓ Same area: Tardeo; ✓ Same coordinates (0.0km apart),flag,pending
,Antariksh,Bandra East,,Antariksh Ace,Bandra East,85,✓ High name similarity 90%; ✓ Same area: Bandra East; ✓ Same coordinates (0.0km apart),flag,pending
,Anmol Fortune,Goregaon West,,Anmol Fortune Akshay Chs,Goregaon West,85,✓ High name similarity 90%; ✓ Same area: Goregaon West; ✓ Same coordinates (0.0km apart),flag,pending
,Anmol Fortune,Goregaon West,,Anmol Fortune F,Goregaon West,85,✓ High name similarity 93%; ✓ Same area: Goregaon West; ✓ Same coordinates (0.0km apart),flag,pending
,Anmol Pride,Goregaon West,,Anmol Tower,Goregaon West,85,✓ High name similarity 90%; ✓ Same area: Goregaon West; ✓ Same coordinates (0.0km apart),flag,pending
,Anand 268,Khar West,,Anand Apartment,Khar West,85,✓ High name similarity 90%; ✓ Same area: Khar West; ✓ Same coordinates (0.0km apart),flag,pending
,Anand Apartment,Khar West,,Anand Ashram,Khar West,85,✓ High name similarity 90%; ✓ Same area: Khar West; ✓ Same coordinates (0.0km apart),flag,pending
,Anand Apartment,Khar West,,Anand Sagar,Khar West,85,✓ High name similarity 90%; ✓ Same area: Khar West; ✓ Same coordinates (0.0km apart),flag,pending
,Anand Bhavan,Santacruz West,,Anand Bhuvan,Santacruz West,85,✓ High name similarity 92%; ✓ Same area: Santacruz West; ✓ Same coordinates (0.0km apart),flag,pending
,Anand Bhuvan,Santacruz West,,Anand Bhuwan,Santacruz West,85,✓ High name similarity 92%; ✓ Same area: Santacruz West; ✓ Same coordinates (0.0km apart),flag,pending
,Auris Serenity 3,Malad West,,Auris Serenity Tower 2,Malad West,85,✓ High name similarity 94%; ✓ Same area: Malad West; ✓ Same coordinates (0.0km apart),flag,pending
,Bhagtani Amber,Bandra West,,Bhagtani Apartment,Bandra West,85,✓ High name similarity 90%; ✓ Same area: Bandra West; ✓ Same coordinates (0.0km apart),flag,pending
,Center Square,Andheri West,,Centre Square,Andheri West,85,✓ High name similarity 92%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Cosmos,Andheri West,,Cosmos Plaza,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Cosmos,Andheri West,,Cosmos Plazza,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Cornerstone,Worli,,Cornerstone Worli,Worli,85,✓ High name similarity 90%; ✓ Same area: Worli; ✓ Same coordinates (0.0km apart),flag,pending
,Deep Apartment,Andheri West,,Deepalika Apartment,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Dhoop Chaon,Andheri West,,Dhoop Chaon Society,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Eden,Powai,,Eden IV,Powai,85,✓ High name similarity 90%; ✓ Same area: Powai; ✓ Same coordinates (0.0km apart),flag,pending
,El Dorado,Prabhadevi,,El-Dorado,Prabhadevi,85,✓ High name similarity 94%; ✓ Same area: Prabhadevi; ✓ Same coordinates (0.0km apart),flag,pending
,Excellency,Andheri West,,Excellency Society,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Golden Chariot,Andheri West,,Golden Chariot | Lokhandwala,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Harshvardhan CHS,Powai,,Harshwardhan,Powai,85,✓ High name similarity 92%; ✓ Same area: Powai; ✓ Same coordinates (0.0km apart),flag,pending
,Ideal Manohar,Bandra West,,Ideal Manohar Chs Ltd,Bandra West,85,✓ High name similarity 90%; ✓ Same area: Bandra West; ✓ Same coordinates (0.0km apart),flag,pending
,JP Deck,Goregaon East,,JP Decks,Goregaon East,85,✓ High name similarity 93%; ✓ Same area: Goregaon East; ✓ Same coordinates (0.0km apart),flag,pending
,JP North,Mira Road,,JP North Garden City,Mira Road,85,✓ High name similarity 90%; ✓ Same area: Mira Road; ✓ Same coordinates (0.0km apart),flag,pending
,Jayant Apartment,Prabhadevi,,Jayant Sapphire,Prabhadevi,85,✓ High name similarity 90%; ✓ Same area: Prabhadevi; ✓ Same coordinates (0.0km apart),flag,pending
,Kingston Palace,Malad West,,Kingston Tower,Malad West,85,✓ High name similarity 90%; ✓ Same area: Malad West; ✓ Same coordinates (0.0km apart),flag,pending
,Leela Apartment,Andheri West,,Leela Sagar,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Legend,Santacruz East,,Legend Apartments,Santacruz East,85,✓ High name similarity 92%; ✓ Same area: Santacruz East; ✓ Same coordinates (0.0km apart),flag,pending
,Neelam Chs,Andheri West,,New Neelam Apartments,Andheri West,85,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,New Mahada,Andheri West,,New Mhada,Andheri West,85,✓ High name similarity 95%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Neelam,Bandra West,,Neelamber,Bandra West,85,✓ High name similarity 90%; ✓ Same area: Bandra West; ✓ Same coordinates (0.0km apart),flag,pending
,Octa Crest,Kandivali East,,Octacrest,Kandivali East,85,✓ High name similarity 95%; ✓ Same area: Kandivali East; ✓ Same coordinates (0.0km apart),flag,pending
,Orbit Grand,Lower Parel,,Orbit Tower,Lower Parel,85,✓ High name similarity 90%; ✓ Same area: Lower Parel; ✓ Same coordinates (0.0km apart),flag,pending
,Orion,Santacruz West,,Orion West,Santacruz West,85,✓ High name similarity 90%; ✓ Same area: Santacruz West; ✓ Same coordinates (0.0km apart),flag,pending
,UK Sangfroid,Andheri West,,UK Sungfroid,Andheri West,85,✓ High name similarity 92%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Wind Space Amelio,Andheri West,,Winspace Amelio,Andheri West,85,✓ High name similarity 94%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),flag,pending
,Winderme,Santacruz West,,Windermere,Santacruz West,85,✓ High name similarity 90%; ✓ Same area: Santacruz West; ✓ Same coordinates (0.0km apart),flag,pending
,Woodstock,Khar West,,Woodstock Apartments,Khar West,85,✓ High name similarity 95%; ✓ Same area: Khar West; ✓ Same coordinates (0.0km apart),flag,pending
,World Villa,Lower Parel,,World Tower,Lower Parel,85,✓ High name similarity 90%; ✓ Same area: Lower Parel; ✓ Same coordinates (0.0km apart),flag,pending
,World Crest,Lower Parel,,World Tower,Lower Parel,85,✓ High name similarity 90%; ✓ Same area: Lower Parel; ✓ Same coordinates (0.0km apart),flag,pending
,World Tower,Lower Parel,,World View,Lower Parel,85,✓ High name similarity 90%; ✓ Same area: Lower Parel; ✓ Same coordinates (0.0km apart),flag,pending
,Woodstock,Santacruz West,,Woodstock Garden,Santacruz West,85,✓ High name similarity 90%; ✓ Same area: Santacruz West; ✓ Same coordinates (0.0km apart),flag,pending
,Woodstock,Santacruz West,,Woodstock Gardens,Santacruz West,85,✓ High name similarity 90%; ✓ Same area: Santacruz West; ✓ Same coordinates (0.0km apart),flag,pending
,Queen,Bandra West,,Queens Apartment,Bandra West,85,✓ High name similarity 91%; ✓ Same area: Bandra West; ✓ Same coordinates (0.0km apart),flag,pending
,Queen,Worli,,Queens Court,Worli,85,✓ High name similarity 90%; ✓ Same area: Worli; ✓ Same coordinates (0.0km apart),flag,pending
,Unnathi Woods,Thane West,,Unnathi Woods 6,Thane West,85,✓ High name similarity 93%; ✓ Same area: Thane West; ✓ Same coordinates (0.0km apart),flag,pending
,Earth Ventage,Dadar West,,Earth Vintage,Dadar West,85,✓ High name similarity 92%; ✓ Same area: Dadar West; ✓ Same coordinates (0.0km apart),flag,pending
,19 North,Kandivali West,,19th North,Kandivali West,85,~ Moderate name similarity 89%; ✓ Same area: Kandivali West; ✓ Same coordinates (0.0km apart); ✓ Same building number 19 in same area,flag,pending
,Hubtown Harmony,Matunga,,Hubtown Harmony,Matunga East,83,✓ Name similarity 100%; ~ Different areas: Matunga vs Matunga East; ✓ Same developer: Hubtown; ✓ Same coordinates (0.3km apart),flag,pending
